"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"121","1","121","11","11","11","77.0000","9.0000","20.0000","0.0000","32.1870","28.0000","5.0000","24.1661"
"122","1","122","11","11","11","103.0000","9.0000","27.0000","0.0000","38.7040","40.0000","6.0000","28.3549"
"123","1","123","11","11","11","82.0000","9.0000","21.0000","0.0000","32.2490","30.0000","7.0000","22.6274"
"124","1","124","11","11","11","145.0000","9.0000","37.0000","0.0000","44.2945","52.0000","8.0000","34.7275"
"125","1","125","11","11","11","115.0000","9.0000","25.0000","0.0000","38.1838","38.0000","6.0000","29.8329"
"126","1","126","11","11","11","147.0000","9.0000","35.0000","0.0000","43.0116","48.0000","7.0000","34.5543"
"127","1","127","11","11","11","100.0000","9.0000","25.0000","0.0000","37.7624","40.0000","5.0000","28.4605"
"128","1","128","11","11","11","80.0000","9.0000","19.0000","0.0000","31.7805","30.0000","6.0000","23.2379"
"129","1","129","11","11","11","150.0000","9.0000","36.0000","0.0000","45.3211","50.0000","7.0000","35.6651"
"130","1","130","11","11","11","154.0000","9.0000","37.0000","0.0000","42.8952","46.0000","8.0000","34.9857"
"131","1","131","11","11","11","61.0000","6.0000","10.0000","0.0000","19.2354","16.0000","4.0000","17.2047"
"132","1","132","11","11","11","142.0000","9.0000","34.0000","0.0000","44.5421","52.0000","7.0000","34.7851"
"133","1","133","11","11","11","131.0000","9.0000","32.0000","0.0000","42.6615","48.0000","7.0000","33.0454"
"134","1","134","11","11","11","84.0000","9.0000","21.0000","0.0000","34.3511","36.0000","6.0000","24.6171"
"135","1","135","11","11","11","133.0000","9.0000","31.0000","0.0000","42.5911","48.0000","5.0000","33.5559"
"136","1","136","11","11","11","112.0000","9.0000","27.0000","0.0000","39.3446","42.0000","6.0000","29.6985"
"137","1","137","11","11","11","88.0000","8.0000","21.0000","0.0000","32.5576","28.0000","5.0000","25.0599"
"138","1","138","11","11","11","99.0000","9.0000","24.0000","0.0000","36.7423","28.0000","5.0000","28.7750"
"139","1","139","11","11","11","80.0000","8.0000","20.0000","0.0000","32.6190","30.0000","5.0000","24.4131"
"140","1","140","11","11","11","159.0000","9.0000","40.0000","0.0000","46.4327","54.0000","7.0000","36.6333"
"141","1","141","11","11","11","121.0000","9.0000","27.0000","0.0000","39.6485","42.0000","6.0000","31.2410"
"142","1","142","11","11","11","101.0000","9.0000","25.0000","0.0000","38.3667","40.0000","5.0000","28.7402"
"143","1","143","11","11","11","107.0000","8.0000","21.0000","0.0000","34.2053","34.0000","5.0000","28.5307"
"144","1","144","11","11","11","104.0000","9.0000","23.0000","0.0000","36.2491","38.0000","6.0000","27.8568"
"145","1","145","11","11","11","113.0000","9.0000","25.0000","0.0000","38.9872","42.0000","6.0000","30.1330"
"146","1","146","11","11","11","115.0000","9.0000","25.0000","0.0000","38.5487","36.0000","6.0000","30.4631"
"147","1","147","11","11","11","75.0000","9.0000","17.0000","0.0000","31.2090","30.0000","4.0000","23.5372"
"148","1","148","11","11","11","118.0000","9.0000","30.0000","0.0000","40.8412","44.0000","6.0000","31.0161"
"149","1","149","11","11","11","144.0000","9.0000","34.0000","0.0000","44.9667","54.0000","7.0000","35.1852"
"150","1","150","11","11","11","109.0000","9.0000","24.0000","0.0000","37.1214","34.0000","6.0000","29.4279"
"151","1","151","11","11","11","104.0000","8.0000","26.0000","0.0000","37.4967","36.0000","6.0000","28.1069"
"152","1","152","11","11","11","82.0000","9.0000","17.0000","0.0000","30.1330","28.0000","5.0000","23.7065"
"153","1","153","11","11","11","145.0000","9.0000","33.0000","0.0000","43.2435","48.0000","7.0000","34.4093"
"154","1","154","11","11","11","139.0000","9.0000","31.0000","0.0000","41.2795","44.0000","6.0000","33.4066"
"155","1","155","11","11","11","100.0000","9.0000","23.0000","0.0000","36.8239","36.0000","5.0000","28.4253"
"156","1","156","11","11","11","83.0000","9.0000","21.0000","0.0000","32.9545","30.0000","6.0000","24.3311"
"157","1","157","11","11","11","110.0000","9.0000","23.0000","0.0000","36.1386","32.0000","6.0000","28.9828"
"158","1","158","11","11","11","88.0000","8.0000","23.0000","0.0000","35.6651","36.0000","6.0000","26.1534"
"159","1","159","11","11","11","125.0000","9.0000","27.0000","0.0000","40.1248","46.0000","7.0000","31.6860"
"160","1","160","11","11","11","64.0000","8.0000","15.0000","0.0000","27.6405","24.0000","4.0000","20.5426"
"161","1","161","11","11","11","119.0000","9.0000","30.0000","0.0000","40.9390","42.0000","7.0000","31.0805"
"162","1","162","11","11","11","145.0000","9.0000","33.0000","0.0000","42.4735","46.0000","7.0000","34.1467"
"163","1","163","11","11","11","148.0000","9.0000","36.0000","0.0000","44.5646","50.0000","7.0000","35.1568"
"164","1","164","11","11","11","129.0000","9.0000","30.0000","0.0000","42.2611","46.0000","6.0000","32.8024"
"165","1","165","11","11","11","78.0000","9.0000","18.0000","0.0000","30.2655","30.0000","6.0000","22.1811"
"166","1","166","11","11","11","138.0000","9.0000","36.0000","0.0000","43.0581","48.0000","7.0000","33.9116"
"167","1","167","11","11","11","88.0000","9.0000","22.0000","0.0000","35.2704","38.0000","6.0000","25.6125"
"168","1","168","11","11","11","106.0000","9.0000","24.0000","0.0000","36.4966","34.0000","6.0000","28.5657"
"169","1","169","11","11","11","95.0000","9.0000","24.0000","0.0000","37.4967","40.0000","6.0000","27.3496"
"170","1","170","11","11","11","110.0000","9.0000","24.0000","0.0000","36.3318","34.0000","6.0000","29.0517"
"171","1","171","11","11","11","95.0000","9.0000","20.0000","0.0000","34.6987","34.0000","4.0000","27.8568"
